Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Payment_Method,Order_Status,Customer_Name,City,Region,Membership_Type,Product_Name,Category,Unit_Price,Brand,Order_Month,Order_Day,Order_Day_of_Week,Total_Amount,Priority_Shipping
O0091,2026-01-01,C002,P011,2,Credit Card,Delivered,Zoya Khan,Delhi,North,Regular,Air Fryer,Home & Kitchen,4999,CookSmart,January,1,Thursday,9998,No
O0051,2026-01-01,C008,P017,4,Net Banking,Delivered,Sara Ahmed,Hyderabad,South,Premium,Yoga Mat,Sports,899,FitLife,January,1,Thursday,3596,Yes
O0106,2026-01-02,C001,P009,1,Net Banking,Delivered,Aarav Sharma,Srinagar,North,Premium,Coffee Maker,Home & Kitchen,3499,HomeBrew,January,2,Friday,3499,Yes
O0022,2026-01-02,C023,P014,4,Net Banking,Delivered,Nikhil Sood,Chandigarh,North,Premium,Data Science Handbook,Books,899,DataPress,January,2,Friday,3596,Yes
O0076,2026-01-03,C019,P015,1,Debit Card,Delivered,Yusuf Dar,Srinagar,North,New,Machine Learning Basics,Books,999,AIPress,January,3,Saturday,999,No
O0108,2026-01-04,C006,P020,1,Net Banking,Delivered,Ishita Gupta,Bengaluru,South,Premium,Dumbbell Set,Sports,1999,StrongFit,January,4,Sunday,1999,Yes
O0041,2026-01-04,C008,P012,5,Cash on Delivery,Delivered,Sara Ahmed,Hyderabad,South,Premium,Water Bottle,Home & Kitchen,699,HydroLife,January,4,Sunday,3495,Yes
O0104,2026-01-05,C011,P006,3,Debit Card,Shipped,Vivaan Kapoor,Jaipur,North,New,Hoodie,Clothing,1599,UrbanWear,January,5,Monday,4797,No
O0028,2026-01-07,C006,P011,3,UPI,Delivered,Ishita Gupta,Bengaluru,South,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,January,7,Wednesday,14997,Yes
O0056,2026-01-08,C015,P018,3,Debit Card,Delivered,Karan Joshi,Chandigarh,North,Regular,Football,Sports,799,SportZone,January,8,Thursday,2397,No
O0046,2026-01-09,C019,P012,2,Cash on Delivery,Delivered,Yusuf Dar,Srinagar,North,New,Water Bottle,Home & Kitchen,699,HydroLife,January,9,Friday,1398,No
O0021,2026-01-09,C026,P019,1,Debit Card,Cancelled,Fatima Noor,Srinagar,North,Regular,Cricket Bat,Sports,2499,BatPro,January,9,Friday,2499,No
O0027,2026-01-11,C002,P008,1,Cash on Delivery,Shipped,Zoya Khan,Delhi,North,Regular,Sneakers,Clothing,2999,StepUp,January,11,Sunday,2999,No
O0034,2026-01-13,C010,P020,5,Credit Card,Delivered,Mehak Bhat,Srinagar,North,Premium,Dumbbell Set,Sports,1999,StrongFit,January,13,Tuesday,9995,Yes
O0045,2026-01-14,C006,P017,1,Debit Card,Cancelled,Ishita Gupta,Bengaluru,South,Premium,Yoga Mat,Sports,899,FitLife,January,14,Wednesday,899,Yes
O0029,2026-01-15,C005,P017,1,Cash on Delivery,Cancelled,Kabir Ali,Lucknow,North,New,Yoga Mat,Sports,899,FitLife,January,15,Thursday,899,No
O0112,2026-01-15,C012,P006,4,UPI,Delivered,Aisha Mir,Delhi,North,Premium,Hoodie,Clothing,1599,UrbanWear,January,15,Thursday,6396,Yes
O0079,2026-01-16,C021,P012,5,Debit Card,Delivered,Aman Kumar,Delhi,North,Regular,Water Bottle,Home & Kitchen,699,HydroLife,January,16,Friday,3495,No
O0099,2026-01-17,C010,P001,2,UPI,Shipped,Mehak Bhat,Srinagar,North,Premium,Wireless Headphones,Electronics,1499,SoundMax,January,17,Saturday,2998,Yes
O0094,2026-01-17,C011,P002,4,Net Banking,Cancelled,Vivaan Kapoor,Jaipur,North,New,Mechanical Keyboard,Electronics,2499,KeyPro,January,17,Saturday,9996,No
O0102,2026-01-20,C021,P012,3,Credit Card,Shipped,Aman Kumar,Delhi,North,Regular,Water Bottle,Home & Kitchen,699,HydroLife,January,20,Tuesday,2097,No
O0071,2026-01-21,C020,P016,1,UPI,Delivered,Priya Menon,Chennai,South,Premium,Atomic Habits,Books,599,MindReads,January,21,Wednesday,599,Yes
O0025,2026-01-22,C026,P008,2,Cash on Delivery,Cancelled,Fatima Noor,Srinagar,North,Regular,Sneakers,Clothing,2999,StepUp,January,22,Thursday,5998,No
O0105,2026-01-22,C020,P016,4,UPI,Delivered,Priya Menon,Chennai,South,Premium,Atomic Habits,Books,599,MindReads,January,22,Thursday,2396,Yes
O0002,2026-01-25,C006,P003,2,Debit Card,Delivered,Ishita Gupta,Bengaluru,South,Premium,Wireless Mouse,Electronics,899,TechGear,January,25,Sunday,1798,Yes
